pc_recv_time,frame_id,timestamp_ms,vtem_voltage_v,vm_voltage_v,va201_voltage_v,vbat_voltage_v
2026-03-23T14:39:20.240,144,20270,0.564,0.54,0.602,2.614
2026-03-23T14:39:20.240,145,20280,0.564,0.54,0.6,2.614
2026-03-23T14:39:20.240,146,20290,0.564,0.54,0.6,2.614
2026-03-23T14:39:20.273,147,20301,0.564,0.54,0.6,2.616
2026-03-23T14:39:20.274,148,20310,0.565,0.54,0.6,2.616
2026-03-23T14:39:20.274,149,20320,0.565,0.539,0.6,2.614
2026-03-23T14:39:20.274,150,20330,0.564,0.54,0.6,2.616
2026-03-23T14:39:20.314,151,20341,0.558,0.534,0.592,2.603
2026-03-23T14:39:20.315,152,20350,0.564,0.54,0.6,2.621
2026-03-23T14:39:20.316,153,20360,0.565,0.541,0.6,2.614
2026-03-23T14:39:20.317,154,20370,0.564,0.54,0.601,2.614
2026-03-23T14:39:20.317,155,20380,0.564,0.541,0.6,2.616
2026-03-23T14:39:20.362,156,20391,0.564,0.541,0.598,2.614
2026-03-23T14:39:20.376,157,20400,0.564,0.54,0.6,2.612
2026-03-23T14:39:20.391,158,20410,0.565,0.541,0.601,2.614
2026-03-23T14:39:20.391,159,20420,0.564,0.541,0.6,2.616
2026-03-23T14:39:20.402,160,20431,0.564,0.54,0.6,2.616
2026-03-23T14:39:20.415,161,20440,0.565,0.541,0.599,2.612
2026-03-23T14:39:20.431,162,20450,0.564,0.541,0.6,2.616
2026-03-23T14:39:20.431,163,20460,0.564,0.54,0.593,2.614
2026-03-23T14:39:20.431,164,20471,0.558,0.54,0.6,2.604
2026-03-23T14:39:20.465,165,20481,0.564,0.54,0.6,2.616
2026-03-23T14:39:20.466,166,20490,0.565,0.541,0.599,2.614
2026-03-23T14:39:20.466,167,20500,0.565,0.541,0.6,2.614
2026-03-23T14:39:20.466,168,20510,0.565,0.541,0.6,2.614
2026-03-23T14:39:20.489,169,20521,0.564,0.541,0.6,2.614
2026-03-23T14:39:20.504,170,20530,0.564,0.542,0.6,2.612
2026-03-23T14:39:20.504,171,20540,0.565,0.541,0.6,2.612
2026-03-23T14:39:20.505,172,20550,0.564,0.541,0.6,2.617
2026-03-23T14:39:20.543,173,20561,0.565,0.541,0.599,2.616
2026-03-23T14:39:20.544,174,20570,0.565,0.541,0.6,2.614
2026-03-23T14:39:20.544,175,20580,0.564,0.541,0.6,2.614
2026-03-23T14:39:20.544,176,20590,0.564,0.541,0.599,2.614
2026-03-23T14:39:20.544,177,20600,0.566,0.541,0.594,2.612
2026-03-23T14:39:20.583,178,20611,0.565,0.54,0.599,2.616
2026-03-23T14:39:20.583,179,20620,0.564,0.542,0.599,2.614
